Date/Time - Peak Brightness (UT),Altitude (km),Velocity (km/s),Velocity Components (km/s): vx,Velocity Components (km/s): vy,Velocity Components (km/s): vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),Geolocation
05/14/2013 11:20:21 PM,,,,,,20000000000,0.073,"(-3.0, 76.4)"
04/30/2013 08:40:38 AM,21.2,,1,9,-8,5110000000000,10,"(35.5, -30.7)"
04/21/2013 06:23:12 AM,40.7,,5,14,1,1070000000000,2.5,"(-28.1, -64.6)"
03/12/2013 10:32:59 AM,26,,,,,29000000000,0.1,"(-32.7, 17.1)"
02/20/2013 01:13:07 PM,,,-11,-8,-1,32000000000,0.1,"(-23.0, -38.8)"
02/15/2013 03:20:33 AM,23.3,18.6,12.8,-13.3,-2.4,375000000000000,440,"(54.8, 61.1)"
02/07/2013 01:12:24 PM,,,,,,65000000000,0.21,"(-18.8, -158.6)"
01/25/2013 07:40:18 AM,,,,,,3400000000000,6.9,"(60.3, -64.6)"
01/12/2013 03:04:21 AM,36.1,,,,,48000000000,0.16,"(-15.1, -155.6)"
12/30/2012 07:25:35 AM,,,,,,198000000000,0.55,"(17.3, -83.6)"
11/20/2012 08:37:31 PM,33.3,,-12.2,-5.3,5.3,25000000000,0.089,"(2.5, 29.6)"
11/20/2012 06:25:11 AM,,,,,,120000000000,0.36,"(-8.0, -86.0)"
10/19/2012 04:26:22 PM,29.3,,-2.3,-3.9,12.4,23000000000,0.082,"(-75.4, 49.6)"
10/09/2012 12:54:55 AM,27.8,,3.4,12,5.1,210000000000,0.58,"(51.2, -84.6)"
10/03/2012 10:50:12 PM,,,-2.4,5.5,15.9,280000000000,0.75,"(-41.5, -21.9)"
10/02/2012 04:38:38 PM,35,,1.4,15.3,1,470000000000,1.2,"(-8.1, -111.9)"
09/28/2012 05:44:12 AM,,,,,,38000000000,0.13,"(-6.9, 73.7)"
09/18/2012 07:34:39 PM,28.1,,-1.9,14.1,-11.5,244000000000,0.67,"(1.2, -52.2)"
09/11/2012 10:07:30 PM,,,,,,52000000000,0.17,"(-18.9, 105.2)"
09/10/2012 01:03:32 AM,23.8,,-10.2,-5.2,12.4,23000000000,0.082,"(-69.8, -111.7)"
08/27/2012 06:57:43 AM,38.7,,-8,-23.7,-14.5,68000000000,0.22,"(-18.3, 64.2)"
08/26/2012 02:55:47 PM,36,,5,-11.6,-0.7,249000000000,0.68,"(11.8, 117.0)"
07/27/2012 04:19:50 AM,27.2,,,,,34000000000,0.12,"(63.1, 172.3)"
07/25/2012 07:48:20 AM,26.8,,0.8,2,-18.4,133000000000,0.39,"(36.4, 41.5)"
05/25/2012 11:31:24 AM,,,,,,60000000000,0.19,"(-41.8, -36.2)"
05/15/2012 11:04:17 AM,33.3,,-0.8,1.1,17,132000000000,0.39,"(-61.8, -135.5)"
05/04/2012 09:54:49 PM,,,,,,229000000000,0.63,"(76.7, -10.6)"
04/23/2012 10:01:10 PM,25.2,,,,,44000000000,0.15,"(36.2, 107.4)"
04/21/2012 04:08:23 PM,,,,,,143000000000,0.42,"(-15.8, -174.8)"
12/25/2010 11:24:00 PM,26,18.1,18,-2,-4,20000000000000,33,"(38.0, 158.0)"
11/21/2009 08:53:00 PM,38,32.1,3,-17,-27,10000000000000,18,"(-22.0, 29.2)"
10/08/2009 02:57:00 AM,19.1,19.2,14,-16,-6,20000000000000,33,"(-4.2, 120.6)"
